,2015.0,2020.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0,
AL,,,,,,,,,
AT,,0.0,0.0,0.0,0.0,0.0,0.0,,
BA,,,,,,,,,
BE,,,,,,,,,
BG,,0.0,0.0,0.0,0.0,0.0,0.0,,
CH,,,,,,,,,
CY,,,,,,,,,
CZ,,0.0,0.0,0.0,0.0,0.0,0.0,,
DE,,0.0,0.0,0.0,0.0,0.0,0.0,,
DK,,0.0,0.0,0.0,0.0,0.0,0.0,,
EE,,1.0,1.0,1.0,1.0,1.0,1.0,,
ES,,1.0,1.0,1.0,1.0,1.0,1.0,,
FI,,0.0,0.0,0.0,0.0,0.0,0.0,,
FR,,0.0,0.0,0.0,0.0,0.0,0.0,,
UK,,0.0,0.0,0.0,0.0,0.0,0.0,,
EL,,,,,,,,,
HR,,1.0,1.0,1.0,0.0,0.0,0.0,,
HU,,1.0,1.0,1.0,1.0,1.0,1.0,,
IE,,0.0,0.0,0.0,0.0,0.0,0.0,,
IS,,,,,,,,,
IT,,0.0,0.0,0.0,0.0,0.0,0.0,,
LT,,,,,,,,,
LU,,,,,,,,,
LV,,,,,,,,,
ME,,,,,,,,,
MK,,,,,,,,,
MT,,,,,,,,,
NL,,1.0,1.0,1.0,1.0,1.0,1.0,,
NO,,,,,,,,,
PL,,1.0,1.0,1.0,0.0,0.0,0.0,,
PT,,1.0,1.0,1.0,1.0,1.0,1.0,,
RO,,0.0,0.0,0.0,0.0,0.0,0.0,,
RS+KS,,,,,,,,,
SE,,0.0,0.0,0.0,0.0,0.0,0.0,,
SI,,1.0,1.0,1.0,1.0,1.0,1.0,,
SK,,0.0,0.0,0.0,0.0,0.0,0.0,,
TR,,1.0,1.0,1.0,1.0,1.0,1.0,,
TR,,,,,,,,,
