,2015.0,2020.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0,
AL,,,,,,,,,
AT,,,,,,,,,
BA,,1.0,1.0,1.0,0.0,0.0,0.0,,
BE,,,,,,,,,
BG,,1.0,1.0,1.0,0.0,0.0,0.0,,
CH,,,,,,,,,
CY,,,,,,,,,
CZ,,1.0,1.0,1.0,0.0,0.0,0.0,,
DE,,1.0,1.0,1.0,1.0,1.0,,,
DK,,,,,,,,,
EE,,,,,,,,,
ES,,0.0,0.0,0.0,0.0,0.0,,,
FI,,,,,,,,,
FR,,,,,,,,,
UK,,,,,,,,,
EL,,1.0,1.0,1.0,0.0,0.0,0.0,,
HR,,,,,,,,,
HU,,1.0,1.0,1.0,0.0,0.0,0.0,,
IE,,,,,,,,,
IS,,,,,,,,,
IT,,,,,,,,,
LT,,,,,,,,,
LU,,,,,,,,,
LV,,,,,,,,,
ME,,1.0,1.0,1.0,0.0,0.0,0.0,,
MK,,1.0,1.0,1.0,0.0,0.0,0.0,,
MT,,,,,,,,,
NL,,,,,,,,,
NO,,,,,,,,,
PL,,1.0,1.0,1.0,0.0,0.0,0.0,,
PT,,,,,,,,,
RO,,1.0,1.0,1.0,0.0,0.0,0.0,,
RS+KS,,1.0,1.0,1.0,0.0,0.0,0.0,,
SE,,,,,,,,,
SI,,1.0,1.0,1.0,1.0,1.0,,,
SK,,1.0,1.0,1.0,1.0,1.0,,,
TR,,1.0,1.0,1.0,1.0,1.0,1.0,,
TR,,,,,,,,,
