,2015.0,2020.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0,
AL,,,,,,,,,
AT,,,,,,,,,
BA,,,,,,,,,
BE,,1.0,1.0,,,,,,
BG,,1.0,1.0,1.0,1.0,1.0,1.0,,
CH,,1.0,1.0,1.0,1.0,1.0,1.0,,
CY,,,,,,,,,
CZ,,1.0,1.0,1.0,1.0,1.0,1.0,,
DE,,1.0,1.0,,,,,,
DK,,,,,,,,,
EE,,,,,,,,,
ES,,1.0,1.0,1.0,1.0,1.0,1.0,,
FI,,1.0,1.0,1.0,1.0,1.0,1.0,,
FR,,1.0,1.0,1.0,1.0,1.0,1.0,,
UK,,1.0,1.0,1.0,1.0,1.0,1.0,,
EL,,,,,,,,,
HR,,,,,,,,,
HU,,1.0,1.0,1.0,1.0,1.0,1.0,,
IE,,,,,,,,,
IS,,,,,,,,,
IT,,,,,,,,,
LT,,,,,,,,,
LU,,,,,,,,,
LV,,,,,,,,,
ME,,,,,,,,,
MK,,,,,,,,,
MT,,,,,,,,,
NL,,1.0,1.0,1.0,1.0,1.0,1.0,,
NO,,,,,,,,,
PL,,,,,,,,,
PT,,,,,,,,,
RO,,1.0,1.0,1.0,1.0,1.0,1.0,,
RS+KS,,,,,,,,,
SE,,1.0,1.0,1.0,1.0,1.0,1.0,,
SI,,1.0,1.0,1.0,1.0,1.0,1.0,,
SK,,1.0,1.0,1.0,1.0,1.0,1.0,,
TR,,,,,,,,,
TR,,,,,,,,,
