,2015.0,2020.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0,
AL,,,,,,,,,
AT,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,,,
BA,,,,,,,,,
BE,0.7560502283105024,1.0,1.0,1.0,1.0,1.0,,,
BG,,1.0,1.0,1.0,1.0,1.0,,,
CH,0.7560502283105022,1.0,1.0,1.0,1.0,1.0,,,
CY,,,,,,,,,
CZ,,1.0,1.0,1.0,1.0,1.0,,,
DE,0.7560502283105025,1.0,1.0,1.0,1.0,1.0,,,
DK,0.7560502283105022,1.0,1.0,1.0,1.0,1.0,,,
EE,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,,,
ES,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,,,
FI,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,,,
FR,0.7560502283105024,1.0,1.0,1.0,1.0,1.0,,,
UK,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,,,
EL,,,,,,,,,
HR,0.7560502283105024,1.0,1.0,1.0,1.0,1.0,,,
HU,0.7560502283105024,1.0,1.0,1.0,1.0,1.0,,,
IE,0.7560502283105022,1.0,1.0,1.0,1.0,1.0,,,
IS,,,,,,,,,
IT,0.7560502283105022,1.0,1.0,1.0,1.0,1.0,,,
LT,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,,,
LU,0.7560502283105024,1.0,1.0,1.0,1.0,1.0,,,
LV,,,,,,,,,
ME,,,,,,,,,
MK,,,,,,,,,
MT,,,,,,,,,
NL,0.7560502283105022,1.0,1.0,1.0,1.0,1.0,,,
NO,0.7560502283105025,1.0,1.0,1.0,1.0,1.0,,,
PL,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,,,
PT,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,,,
RO,,,,,,,,,
RS+KS,,,,,,,,,
SE,0.7560502283105024,1.0,1.0,1.0,1.0,1.0,,,
SI,0.7560502283105024,1.0,1.0,1.0,1.0,1.0,,,
SK,0.7560502283105025,1.0,1.0,1.0,1.0,1.0,,,
TR,,,,,,,,,
TR,,,,,,,,,
