,2015.0,2020.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0,
AL,,,,,,,,,
AT,,,,,,,,,
BA,,,,,,,,,
BE,26.1,34.0,22.0,0.0,0.0,0.0,0.0,0.0,
BG,15.38,16.0,16.0,8.0,0.0,0.0,0.0,0.0,
CH,23.1,23.0,23.0,15.0,0.0,0.0,0.0,0.0,
CY,,,,,,,,,
CZ,26.84,29.0,29.0,15.0,15.0,15.0,0.0,0.0,
DE,91.79,62.0,0.0,0.0,0.0,0.0,0.0,0.0,
DK,,,,,,,,,
EE,,,,,,,,,
ES,57.2,53.0,38.0,8.0,0.0,0.0,0.0,0.0,
FI,23.25,22.0,13.0,13.0,13.0,13.0,0.0,0.0,
FR,437.43,387.0,314.0,151.0,47.0,47.0,0.0,0.0,
UK,70.34,32.0,16.0,23.0,23.0,19.0,0.0,0.0,
EL,,,,,,,,,
HR,,,,,,,,,
HU,15.83,15.0,7.0,0.0,0.0,0.0,0.0,0.0,
IE,,,,,,,,,
IS,,,,,,,,,
IT,,,,,,,,,
LT,,,,,,,,,
LU,,,,,,,,,
LV,,,,,,,,,
ME,,,,,,,,,
MK,,,,,,,,,
MT,,,,,,,,,
NL,4.08,3.0,0.0,0.0,0.0,0.0,0.0,0.0,
NO,,,,,,,,,
PL,,,,,,,,,
PT,,,,,,,,,
RO,11.64,10.0,10.0,10.0,10.0,5.0,0.0,0.0,
RS+KS,,,,,,,,,
SE,56.35,58.0,58.0,51.0,20.0,0.0,0.0,0.0,
SI,5.65,6.0,6.0,6.0,0.0,0.0,0.0,0.0,
SK,15.15,19.0,18.0,15.0,15.0,7.0,0.0,0.0,
TR,,,,,,,,,
total,880.1300000000001,768.0,571.0,314.0,142.0,106.0,0.0,0.0,
EU28,857.0300000000001,745.0,548.0,299.0,142.0,106.0,0.0,0.0,
