,2015.0,2020.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0
AL,,,,,,,,
AT,,,,,,,,
BA,,,,,,,,
BE,0,0.0002095779033061328,0.0,0.0,0.0,0.0,0.0,0.0
BG,,,,,,,,
CH,,,,,,,,
CY,,,,,,,,
CZ,,,,,,,,
DE,,,,,,,,
DK,0,0.0002095779033061328,0.0,0.0,0.0,0.0,0.0,0.0
EE,,,,,,,,
ES,0,0.03,0.0,2.0,2.0,2.0,2.0,2.0
FI,,,,,,,,
FR,0.49,0.5,1.0,3.0,3.0,3.0,3.0,3.0
UK,0,0.01,1.0,2.0,2.0,2.0,2.0,2.0
EL,0,0.0002095779033061328,0.0,0.0,0.0,0.0,0.0,0.0
HR,,,,,,,,
HU,,,,,,,,
IE,,,,,,,,
IS,,,,,,,,
IT,0,0.0006287337099183984,0.0,0.0,0.0,0.0,0.0,0.0
LT,,,,,,,,
LU,,,,,,,,
LV,,,,,,,,
ME,,,,,,,,
MK,,,,,,,,
MT,,,,,,,,
NL,0,0.004191558066122657,0.0,1.0,1.0,1.0,1.0,1.0
NO,,,,,,,,
PL,,,,,,,,
PT,0,0.0010478895165306641,0.0,1.0,1.0,1.0,1.0,1.0
RO,,,,,,,,
RS+KS,,,,,,,,
SE,,0.0020957790330613283,0.0,1.0,1.0,1.0,1.0,1.0
SI,,,,,,,,
SK,,,,,,,,
TR,,,,,,,,
total,0.49,0.5485926940355516,2.0,10.0,10.0,10.0,10.0,10.0
EU28,0.49,0.5485926940355516,2.0,10.0,10.0,10.0,10.0,10.0
