,2015.0,2020.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0,
AL,0.001,0.0,5.0,12.0,16.0,27.0,36.0,48.0,
AT,0.94,3.0,12.0,26.0,43.0,84.0,116.0,140.0,
BA,0.009,1.0,8.0,22.0,29.0,48.0,64.0,86.0,
BE,3.06,6.0,10.0,34.0,68.0,118.0,98.0,218.0,
BG,1.38,1.0,11.0,35.0,54.0,95.0,130.0,163.0,
CH,1.119,4.0,37.0,63.0,94.0,163.0,169.0,295.0,
CY,0.13,1.0,2.0,2.0,4.0,7.0,10.0,16.0,
CZ,2.26,2.0,8.0,20.0,37.0,62.0,92.0,112.0,
DE,38.73,60.0,89.0,270.0,402.0,716.0,1128.0,1540.0,
DK,0.6,2.0,7.0,10.0,16.0,21.0,23.0,28.0,
EE,0,0.0,0.0,1.0,2.0,4.0,5.0,8.0,
ES,8.266,29.0,141.0,243.0,327.0,516.0,697.0,883.0,
FI,0.01,0.0,5.0,13.0,23.0,43.0,54.0,72.0,
FR,7.75,18.0,51.0,144.0,297.0,457.0,584.0,820.0,
UK,7.53,14.0,28.0,66.0,146.0,415.0,814.0,1197.0,
EL,3.9,5.0,13.0,42.0,64.0,113.0,154.0,194.0,
HR,0.06,0.0,9.0,24.0,32.0,53.0,71.0,95.0,
HU,0.14,3.0,13.0,29.0,48.0,93.0,129.0,156.0,
IE,0,2.0,8.0,19.0,42.0,120.0,235.0,345.0,
IS,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,
IT,22.94,34.0,70.0,164.0,332.0,440.0,683.0,841.0,
LT,0.07,0.0,0.0,2.0,3.0,6.0,8.0,11.0,
LU,0.1,0.0,0.0,1.0,3.0,6.0,10.0,8.0,
LV,0,0.0,0.0,2.0,3.0,6.0,8.0,11.0,
ME,0.004,0.0,2.0,6.0,8.0,13.0,17.0,23.0,
MK,0.0023,0.0,4.0,11.0,14.0,24.0,32.0,43.0,
MT,0.09,0.0,1.0,1.0,2.0,2.0,2.0,2.0,
NL,1.11,13.0,40.0,67.0,93.0,161.0,134.0,297.0,
NO,0.019,0.0,3.0,5.0,11.0,22.0,34.0,49.0,
PL,0.06,3.0,12.0,60.0,102.0,150.0,172.0,285.0,
PT,0.8,4.0,26.0,45.0,60.0,95.0,128.0,162.0,
RO,1.98,2.0,6.0,24.0,77.0,115.0,205.0,279.0,
RS+KS,0.011,0.0,1.0,14.0,37.0,50.0,82.0,111.0,
SE,0.1,1.0,5.0,9.0,13.0,17.0,21.0,38.0,
SI,0.27,0.0,1.0,3.0,9.0,11.0,19.0,25.0,
SK,0.51,1.0,5.0,12.0,23.0,39.0,57.0,70.0,
TR,0.194,13.0,32.0,46.0,69.0,93.0,216.0,342.0,
total,104.1453,223.0,667.0,1545.0,2602.0,4400.0,6438.0,9017.0,
EU28,102.78599999999999,204.0,575.0,1368.0,2324.0,3960.0,5787.0,8018.0,
