,2015.0,2020.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0,
AL,,,,,,,,,
AT,,,,,,,,,
BA,,,,,,,,,
BE,,,,,,,,,
BG,,,,,,,,,
CH,,,,,,,,,
CY,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CZ,,,,,,,,,
DE,0.004044129586846591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DK,,,,,,,,,
EE,,,,,,,,,
ES,4.658958607934879,5.0,5.0,5.0,5.0,6.0,6.0,6.0,
FI,,,,,,,,,
FR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
UK,,,,,,,,,
EL,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
HR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HU,0,0.0,0.0,2.0,3.0,3.0,4.0,4.0,
IE,,,,,,,,,
IS,,,,,,,,,
IT,0,0.0,4.0,8.0,12.0,15.0,16.0,16.0,
LT,,,,,,,,,
LU,,,,,,,,,
LV,,,,,,,,,
ME,,,,,,,,,
MK,,,,,,,,,
MT,,,,,,,,,
NL,,,,,,,,,
NO,,,,,,,,,
PL,,,,,,,,,
PT,,,,,,,,,
RO,,,,,,,,,
RS+KS,,,,,,,,,
SE,,,,,,,,,
SI,,,,,,,,,
SK,,,,,,,,,
TR,,,,,,,,,
total,4.663002737521725,5.0,10.0,17.0,22.0,24.0,27.0,27.0,
EU28,4.663002737521725,5.0,10.0,17.0,22.0,24.0,27.0,27.0,
