,2015.0,2020.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0,
AL,,,,,,,,,
AT,,,,,,,,,
BA,,,,,,,,,
BE,2.613,7.0,12.0,19.0,28.0,40.0,40.0,40.0,
BG,,,,,,,,,
CH,,,,,,,,,
CY,,,,,,,,,
CZ,,,,,,,,,
DE,8.2845,32.0,54.0,93.0,142.0,200.0,200.0,200.0,
DK,4.8327,13.0,16.0,25.0,38.0,53.0,53.0,53.0,
EE,0,0.0,0.0,3.0,4.0,6.0,6.0,6.0,
ES,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
FI,0.074,1.0,3.0,3.0,5.0,7.0,7.0,7.0,
FR,0,0.0,11.0,28.0,43.0,60.0,60.0,60.0,
UK,17.423,40.0,76.0,186.0,284.0,400.0,400.0,400.0,
EL,,,,,,,,,
HR,,,,,,,,,
HU,,,,,,,,,
IE,0.081,0.0,1.0,16.0,25.0,35.0,35.0,35.0,
IS,,,,,,,,,
IT,0,0.0,0.0,4.0,6.0,9.0,9.0,9.0,
LT,0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,
LU,,,,,,,,,
LV,0,0.0,0.0,2.0,4.0,5.0,5.0,5.0,
ME,,,,,,,,,
MK,,,,,,,,,
MT,,,,,,,,,
NL,1.13,11.0,34.0,84.0,128.0,180.0,180.0,180.0,
NO,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
PL,0,8.0,15.0,23.0,36.0,50.0,50.0,50.0,
PT,0.0047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
RO,,,,,,,,,
RS+KS,,,,,,,,,
SE,0.7142999999999999,1.0,4.0,10.0,16.0,22.0,22.0,22.0,
SI,,,,,,,,,
SK,,,,,,,,,
TR,,,,,,,,,
total,35.175200000000004,113.0,229.0,497.0,760.0,1070.0,1070.0,1070.0,
EU28,35.168200000000006,113.0,229.0,497.0,760.0,1070.0,1070.0,1070.0,
