,2015.0,2020.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0,
AL,0,0.0,2.0,4.0,8.0,10.0,10.0,10.0,
AT,194,190.0,226.0,195.0,166.0,129.0,117.0,107.0,
BA,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
BE,183,183.0,218.0,188.0,160.0,124.0,113.0,103.0,
BG,20,29.0,34.0,30.0,25.0,20.0,18.0,16.0,
CH,74,74.0,89.0,77.0,66.0,51.0,56.0,51.0,
CY,10,10.0,12.0,10.0,9.0,7.0,6.0,6.0,
CZ,368,372.0,442.0,383.0,325.0,253.0,230.0,209.0,
DE,4803,6169.0,7335.0,6345.0,5393.0,4190.0,3809.0,3463.0,
DK,102,112.0,133.0,115.0,98.0,76.0,69.0,63.0,
EE,11,11.0,13.0,11.0,10.0,7.0,7.0,6.0,
ES,224,230.0,273.0,237.0,201.0,156.0,142.0,129.0,
FI,102,114.0,136.0,117.0,100.0,77.0,70.0,64.0,
FR,320,433.0,515.0,445.0,379.0,294.0,267.0,243.0,
UK,1488,1731.0,2058.0,1780.0,1513.0,1176.0,1069.0,972.0,
EL,49,83.0,99.0,85.0,73.0,56.0,51.0,47.0,
HR,28,52.0,62.0,53.0,45.0,35.0,32.0,29.0,
HU,69,68.0,81.0,70.0,59.0,46.0,42.0,38.0,
IE,53,62.0,74.0,64.0,54.0,42.0,38.0,35.0,
IS,,,,,,,,,
IT,1336,1432.0,1703.0,1473.0,1252.0,973.0,884.0,804.0,
LT,21,40.0,48.0,41.0,35.0,27.0,25.0,22.0,
LU,12,12.0,14.0,12.0,10.0,8.0,7.0,7.0,
LV,60,60.0,71.0,62.0,52.0,41.0,37.0,34.0,
ME,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MK,4,7.0,6.0,5.0,4.0,3.0,3.0,3.0,
MT,3,3.0,3.0,2.0,2.0,1.0,1.0,1.0,
NL,239,221.0,263.0,227.0,193.0,150.0,136.0,124.0,
NO,17,10.0,8.0,7.0,6.0,5.0,4.0,4.0,
PL,216,282.0,335.0,290.0,247.0,192.0,174.0,158.0,
PT,66,70.0,83.0,72.0,61.0,48.0,43.0,39.0,
RO,14,22.0,26.0,23.0,19.0,15.0,14.0,12.0,
RS+KS,5,15.0,13.0,11.0,9.0,7.0,7.0,6.0,
SE,95,95.0,113.0,98.0,83.0,65.0,59.0,53.0,
SI,32,27.0,32.0,28.0,24.0,18.0,17.0,15.0,
SK,91,91.0,108.0,94.0,80.0,62.0,56.0,51.0,
TR,252,457.0,388.0,336.0,286.0,222.0,202.0,183.0,
total,10562,12768.0,15019.0,12992.0,11048.0,8588.0,7817.0,7108.0,
EU28,10209,12204.0,14510.0,12551.0,10668.0,8288.0,7535.0,6850.0,
