,2015.0,2020.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0,
AL,,,,,,,,,
AT,82.03944843396863,85.0,50.0,35.0,19.0,4.0,0.0,0.0,
BA,,,,,,,,,
BE,209.65636822014207,206.0,121.0,84.0,46.0,9.0,0.0,0.0,
BG,0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,
CH,279.55948998009336,281.0,165.0,114.0,63.0,12.0,0.0,0.0,
CY,,,,,,,,,
CZ,0,57.0,33.0,23.0,13.0,2.0,0.0,0.0,
DE,959.9754903558136,961.0,565.0,390.0,215.0,41.0,0.0,0.0,
DK,206.80777626062925,219.0,129.0,89.0,49.0,9.0,0.0,0.0,
EE,11.394367838051199,11.0,6.0,4.0,2.0,0.0,0.0,0.0,
ES,153.25424742178865,307.0,180.0,124.0,69.0,13.0,0.0,0.0,
FI,41.019724216984315,89.0,53.0,36.0,20.0,4.0,0.0,0.0,
FR,516.7213321906939,580.0,341.0,236.0,130.0,25.0,0.0,0.0,
UK,616.0908191504427,750.0,441.0,305.0,168.0,32.0,0.0,0.0,
EL,,,,,,,,,
HR,3.41831035141536,3.0,2.0,1.0,1.0,0.0,0.0,0.0,
HU,14.242959797564,21.0,12.0,8.0,5.0,1.0,0.0,0.0,
IE,6.26690231092816,22.0,13.0,9.0,5.0,1.0,0.0,0.0,
IS,,,,,,,,,
IT,66.08733346069695,75.0,44.0,31.0,17.0,3.0,0.0,0.0,
LT,17.66127014897936,12.0,7.0,5.0,3.0,1.0,0.0,0.0,
LU,11.96408622995376,12.0,7.0,5.0,3.0,1.0,0.0,0.0,
LV,,,,,,,,,
ME,,,,,,,,,
MK,,,,,,,,,
MT,,,,,,,,,
NL,495.0852825633246,432.0,254.0,175.0,97.0,18.0,0.0,0.0,
NO,58.296765683052655,66.0,39.0,27.0,15.0,3.0,0.0,0.0,
PL,10.599411942373209,89.0,52.0,36.0,20.0,4.0,0.0,0.0,
PT,52.99705971186604,54.0,32.0,22.0,12.0,2.0,0.0,0.0,
RO,,,,,,,,,
RS+KS,,,,,,,,,
SE,580.3178038449332,751.0,442.0,305.0,169.0,32.0,0.0,0.0,
SI,19.9401437165896,23.0,13.0,9.0,5.0,1.0,0.0,0.0,
SK,7.287095710381582,8.0,5.0,3.0,2.0,0.0,0.0,0.0,
TR,,,,,,,,,
total,4420.683489540666,5118.0,3008.0,2078.0,1148.0,218.0,0.0,0.0,
EU28,4082.82723387752,4771.0,2804.0,1937.0,1070.0,203.0,0.0,0.0,
