cluster,,,38
lv,,,1.0
opt,,,PAC_2050
,,carrier,
AC,generators,offwind-ac,173087.58746459207
AC,generators,offwind-dc,70392.80508684494
AC,generators,onwind,680317.3502322325
AC,generators,ror,32579.098681459272
AC,generators,solar,1203827.073852532
AC,lines,AC0,-147713.13592419302
AC,lines,AC1,147713.13592419302
AC,links,DC0,-18749.988786930626
AC,links,DC1,18749.988786930626
AC,links,H2 Electrolysis0,-391034.9419793958
AC,links,H2 Fuel Cell1,14559.52541842697
AC,links,OCGT1,122359.3221123179
AC,links,battery charger0,-142061.32168191794
AC,links,battery discharger1,113897.93984344263
AC,links,electricity distribution grid0,-371081.25505479064
AC,links,helmeth0,-16745.156006050398
AC,links,residential rural micro gas CHP1,0.016735879688591953
AC,links,residential rural resistive heater0,-20016.140504975927
AC,links,residential urban decentral micro gas CHP1,0.01733094988076975
AC,links,residential urban decentral resistive heater0,-106117.1890781529
AC,links,services rural micro gas CHP1,0.013099099761475264
AC,links,services rural resistive heater0,-1.6520370759785388
AC,links,services urban decentral micro gas CHP1,0.017369953967508178
AC,links,services urban decentral resistive heater0,-43250.42297807929
AC,links,urban central gas CHP CCS electric1,0.5329727719035259
AC,links,urban central gas CHP electric1,11473.369705299254
AC,links,urban central resistive heater0,-179702.02754005473
AC,links,urban central solid biomass CHP CCS electric1,24758.38419161947
AC,links,urban central solid biomass CHP electric1,0.8005706551386469
AC,loads,industry new electricity,-153995.43378995432
AC,storage_units,PHS,45731.49213920015
AC,storage_units,hydro,54526.46850828784
Fischer-Tropsch,generators,oil,31400.338046545545
Fischer-Tropsch,links,Fischer-Tropsch1,18809.7561561103
Fischer-Tropsch,loads,kerosene for aviation,-42694.06392694064
Fischer-Tropsch,stores,Fischer-Tropsch,12100.854743026197
H2,links,Fischer-Tropsch0,-23512.195195137865
H2,links,H2 Electrolysis1,269814.1099657832
H2,links,H2 Fuel Cell0,-29119.05083685394
H2,links,H2 pipeline0,-89895.15640588201
H2,links,H2 pipeline1,89895.15640588201
H2,links,SMR CCS1,0.05524460436065429
H2,links,SMR1,0.09255908645209975
H2,links,Sabatier0,-12226.148584879717
